location_id,time,temperature_2m (°C),relative_humidity_2m (%),sunshine_duration (s),global_tilted_irradiance (W/m²)
0,2024-01-01T00:00,8.5,81,0.00,0.0
0,2024-01-01T01:00,8.5,79,0.00,0.0
0,2024-01-01T02:00,7.7,78,0.00,0.0
0,2024-01-01T03:00,7.2,80,0.00,0.0
0,2024-01-01T04:00,6.9,85,0.00,0.0
0,2024-01-01T05:00,6.9,87,0.00,0.0
0,2024-01-01T06:00,7.2,86,0.00,0.0
0,2024-01-01T07:00,7.2,87,0.00,0.0
0,2024-01-01T08:00,7.2,89,0.00,0.0
0,2024-01-01T09:00,7.2,90,0.00,0.0
0,2024-01-01T10:00,7.0,90,0.00,0.0
0,2024-01-01T11:00,7.3,90,0.00,13.0
0,2024-01-01T12:00,7.7,86,0.00,29.0
0,2024-01-01T13:00,8.1,82,2554.80,108.0
0,2024-01-01T14:00,8.6,78,1853.61,96.0
0,2024-01-01T15:00,8.4,79,295.22,77.0
0,2024-01-01T16:00,8.1,81,357.15,59.0
0,2024-01-01T17:00,7.9,79,0.00,28.0
0,2024-01-01T18:00,7.4,78,0.00,6.0
0,2024-01-01T19:00,6.9,82,0.00,0.0
0,2024-01-01T20:00,6.6,92,0.00,0.0
0,2024-01-01T21:00,6.5,86,0.00,0.0
0,2024-01-01T22:00,6.1,85,0.00,0.0
0,2024-01-01T23:00,6.3,86,0.00,0.0
0,2024-01-02T00:00,6.3,88,0.00,0.0
0,2024-01-02T01:00,6.5,91,0.00,0.0
0,2024-01-02T02:00,6.7,93,0.00,0.0
0,2024-01-02T03:00,7.0,93,0.00,0.0
0,2024-01-02T04:00,7.2,91,0.00,0.0
0,2024-01-02T05:00,7.6,93,0.00,0.0
0,2024-01-02T06:00,7.7,93,0.00,0.0
0,2024-01-02T07:00,8.6,94,0.00,0.0
0,2024-01-02T08:00,10.4,95,0.00,0.0
0,2024-01-02T09:00,10.6,92,0.00,0.0
0,2024-01-02T10:00,10.6,92,0.00,0.0
0,2024-01-02T11:00,11.2,93,0.00,21.0
0,2024-01-02T12:00,11.5,91,0.00,39.0
0,2024-01-02T13:00,11.5,92,0.00,31.0
0,2024-01-02T14:00,11.2,92,0.00,24.0
0,2024-01-02T15:00,10.8,93,0.00,25.0
0,2024-01-02T16:00,10.3,93,0.00,19.0
0,2024-01-02T17:00,10.9,94,0.00,10.0
0,2024-01-02T18:00,10.9,94,0.00,1.0
0,2024-01-02T19:00,11.1,90,0.00,0.0
0,2024-01-02T20:00,11.8,87,0.00,0.0
0,2024-01-02T21:00,11.3,74,0.00,0.0
0,2024-01-02T22:00,11.1,77,0.00,0.0
0,2024-01-02T23:00,10.9,76,0.00,0.0
0,2024-01-03T00:00,10.4,81,0.00,0.0
0,2024-01-03T01:00,10.2,82,0.00,0.0
0,2024-01-03T02:00,10.0,79,0.00,0.0
0,2024-01-03T03:00,10.0,80,0.00,0.0
0,2024-01-03T04:00,10.0,79,0.00,0.0
0,2024-01-03T05:00,10.4,75,0.00,0.0
0,2024-01-03T06:00,10.0,84,0.00,0.0
0,2024-01-03T07:00,9.8,85,0.00,0.0
0,2024-01-03T08:00,9.6,84,0.00,0.0
0,2024-01-03T09:00,9.2,88,0.00,0.0
0,2024-01-03T10:00,9.0,89,0.00,0.0
0,2024-01-03T11:00,9.2,89,0.00,14.0
0,2024-01-03T12:00,9.4,87,0.00,22.0
0,2024-01-03T13:00,9.5,85,0.00,34.0
0,2024-01-03T14:00,9.8,88,1579.55,94.0
0,2024-01-03T15:00,9.7,85,751.51,76.0
0,2024-01-03T16:00,9.6,86,0.00,57.0
0,2024-01-03T17:00,9.3,83,0.00,23.0
0,2024-01-03T18:00,9.0,86,0.00,3.0
0,2024-01-03T19:00,8.9,89,0.00,0.0
0,2024-01-03T20:00,8.5,92,0.00,0.0
0,2024-01-03T21:00,8.3,88,0.00,0.0
0,2024-01-03T22:00,8.5,91,0.00,0.0
0,2024-01-03T23:00,8.2,88,0.00,0.0
0,2024-01-04T00:00,8.1,91,0.00,0.0
0,2024-01-04T01:00,8.0,93,0.00,0.0
0,2024-01-04T02:00,8.1,92,0.00,0.0
0,2024-01-04T03:00,8.0,90,0.00,0.0
0,2024-01-04T04:00,7.8,91,0.00,0.0
0,2024-01-04T05:00,7.8,95,0.00,0.0
0,2024-01-04T06:00,7.8,93,0.00,0.0
0,2024-01-04T07:00,7.7,94,0.00,0.0
0,2024-01-04T08:00,7.8,93,0.00,0.0
0,2024-01-04T09:00,7.7,94,0.00,0.0
0,2024-01-04T10:00,7.7,94,0.00,0.0
0,2024-01-04T11:00,7.8,94,0.00,14.0
0,2024-01-04T12:00,8.1,93,0.00,28.0
0,2024-01-04T13:00,8.3,91,0.00,48.0
0,2024-01-04T14:00,8.3,92,0.00,56.0
0,2024-01-04T15:00,8.6,94,0.00,49.0
0,2024-01-04T16:00,8.5,91,0.00,46.0
0,2024-01-04T17:00,8.2,90,0.00,15.0
0,2024-01-04T18:00,7.6,91,0.00,4.0
0,2024-01-04T19:00,6.7,93,0.00,0.0
0,2024-01-04T20:00,6.5,94,0.00,0.0
0,2024-01-04T21:00,6.1,94,0.00,0.0
0,2024-01-04T22:00,6.2,94,0.00,0.0
0,2024-01-04T23:00,6.7,93,0.00,0.0
0,2024-01-05T00:00,6.7,94,0.00,0.0
0,2024-01-05T01:00,6.7,95,0.00,0.0
0,2024-01-05T02:00,7.0,96,0.00,0.0
0,2024-01-05T03:00,7.3,96,0.00,0.0
0,2024-01-05T04:00,7.3,97,0.00,0.0
0,2024-01-05T05:00,7.7,94,0.00,0.0
0,2024-01-05T06:00,7.9,91,0.00,0.0
0,2024-01-05T07:00,7.8,89,0.00,0.0
0,2024-01-05T08:00,7.7,90,0.00,0.0
0,2024-01-05T09:00,7.6,84,0.00,0.0
0,2024-01-05T10:00,7.0,88,0.00,0.0
0,2024-01-05T11:00,6.5,87,0.00,5.0
0,2024-01-05T12:00,5.9,88,0.00,17.0
0,2024-01-05T13:00,6.2,87,0.00,18.0
0,2024-01-05T14:00,6.2,91,0.00,28.0
0,2024-01-05T15:00,7.0,96,0.00,24.0
0,2024-01-05T16:00,7.0,92,0.00,26.0
0,2024-01-05T17:00,6.8,91,0.00,8.0
0,2024-01-05T18:00,6.6,92,0.00,2.0
0,2024-01-05T19:00,6.5,90,0.00,0.0
0,2024-01-05T20:00,6.4,93,0.00,0.0
0,2024-01-05T21:00,6.3,94,0.00,0.0
0,2024-01-05T22:00,6.3,95,0.00,0.0
0,2024-01-05T23:00,6.4,93,0.00,0.0
0,2024-01-06T00:00,5.7,92,0.00,0.0
0,2024-01-06T01:00,5.0,89,0.00,0.0
0,2024-01-06T02:00,4.8,90,0.00,0.0
0,2024-01-06T03:00,4.5,91,0.00,0.0
0,2024-01-06T04:00,4.5,90,0.00,0.0
0,2024-01-06T05:00,4.3,91,0.00,0.0
0,2024-01-06T06:00,3.9,90,0.00,0.0
0,2024-01-06T07:00,3.7,90,0.00,0.0
0,2024-01-06T08:00,3.5,90,0.00,0.0
0,2024-01-06T09:00,3.5,90,0.00,0.0
0,2024-01-06T10:00,3.4,89,0.00,0.0
0,2024-01-06T11:00,3.3,89,0.00,13.0
0,2024-01-06T12:00,3.4,89,0.00,28.0
0,2024-01-06T13:00,3.5,88,0.00,44.0
0,2024-01-06T14:00,3.6,86,0.00,49.0
0,2024-01-06T15:00,3.6,85,0.00,40.0
0,2024-01-06T16:00,3.5,84,0.00,40.0
0,2024-01-06T17:00,3.2,87,0.00,20.0
0,2024-01-06T18:00,2.8,88,0.00,3.0
0,2024-01-06T19:00,2.6,87,0.00,0.0
0,2024-01-06T20:00,2.8,88,0.00,0.0
0,2024-01-06T21:00,1.8,86,0.00,0.0
0,2024-01-06T22:00,1.1,87,0.00,0.0
0,2024-01-06T23:00,1.1,84,0.00,0.0
0,2024-01-07T00:00,0.8,88,0.00,0.0
0,2024-01-07T01:00,0.4,93,0.00,0.0
0,2024-01-07T02:00,0.1,95,0.00,0.0
0,2024-01-07T03:00,0.1,94,0.00,0.0
0,2024-01-07T04:00,0.1,93,0.00,0.0
0,2024-01-07T05:00,0.3,93,0.00,0.0
0,2024-01-07T06:00,0.3,91,0.00,0.0
0,2024-01-07T07:00,0.2,91,0.00,0.0
0,2024-01-07T08:00,0.1,90,0.00,0.0
0,2024-01-07T09:00,-0.0,89,0.00,0.0
0,2024-01-07T10:00,-0.3,89,0.00,0.0
0,2024-01-07T11:00,-0.2,87,0.00,16.0
0,2024-01-07T12:00,-0.3,86,0.00,51.0
0,2024-01-07T13:00,-0.1,80,3041.15,130.0
0,2024-01-07T14:00,0.2,72,3600.00,185.0
0,2024-01-07T15:00,0.5,69,3600.00,207.0
0,2024-01-07T16:00,0.4,71,3600.00,154.0
0,2024-01-07T17:00,0.0,71,3427.58,72.0
0,2024-01-07T18:00,-0.5,75,0.00,10.0
0,2024-01-07T19:00,-0.9,81,0.00,0.0
0,2024-01-07T20:00,-1.5,85,0.00,0.0
0,2024-01-07T21:00,-1.9,86,0.00,0.0
0,2024-01-07T22:00,-2.2,87,0.00,0.0
0,2024-01-07T23:00,-2.3,85,0.00,0.0
0,2024-01-08T00:00,-2.5,86,0.00,0.0
0,2024-01-08T01:00,-2.2,80,0.00,0.0
0,2024-01-08T02:00,-2.0,78,0.00,0.0
0,2024-01-08T03:00,-2.5,75,0.00,0.0
0,2024-01-08T04:00,-2.6,72,0.00,0.0
0,2024-01-08T05:00,-3.0,75,0.00,0.0
0,2024-01-08T06:00,-3.0,78,0.00,0.0
0,2024-01-08T07:00,-2.9,80,0.00,0.0
0,2024-01-08T08:00,-2.3,85,0.00,0.0
0,2024-01-08T09:00,-2.1,81,0.00,0.0
0,2024-01-08T10:00,-2.2,82,0.00,0.0
0,2024-01-08T11:00,-1.8,76,149.25,36.0
0,2024-01-08T12:00,-1.3,77,3600.00,100.0
0,2024-01-08T13:00,-0.9,71,3004.97,125.0
0,2024-01-08T14:00,-0.9,72,3600.00,148.0
0,2024-01-08T15:00,-0.5,61,3600.00,147.0
0,2024-01-08T16:00,-0.5,57,3600.00,159.0
0,2024-01-08T17:00,-0.8,59,3600.00,83.0
0,2024-01-08T18:00,-1.7,63,0.00,12.0
0,2024-01-08T19:00,-2.1,67,0.00,0.0
0,2024-01-08T20:00,-2.3,66,0.00,0.0
0,2024-01-08T21:00,-2.5,70,0.00,0.0
0,2024-01-08T22:00,-2.7,71,0.00,0.0
0,2024-01-08T23:00,-2.7,70,0.00,0.0
0,2024-01-09T00:00,-2.9,70,0.00,0.0
0,2024-01-09T01:00,-3.2,70,0.00,0.0
0,2024-01-09T02:00,-3.5,72,0.00,0.0
0,2024-01-09T03:00,-3.7,72,0.00,0.0
0,2024-01-09T04:00,-4.0,73,0.00,0.0
0,2024-01-09T05:00,-4.3,75,0.00,0.0
0,2024-01-09T06:00,-4.5,74,0.00,0.0
0,2024-01-09T07:00,-4.8,73,0.00,0.0
0,2024-01-09T08:00,-5.0,72,0.00,0.0
0,2024-01-09T09:00,-5.3,70,0.00,0.0
0,2024-01-09T10:00,-5.5,69,0.00,0.0
0,2024-01-09T11:00,-5.1,67,1080.60,41.0
0,2024-01-09T12:00,-4.4,62,3600.00,123.0
0,2024-01-09T13:00,-3.3,54,3600.00,191.0
0,2024-01-09T14:00,-1.8,46,3600.00,224.0
0,2024-01-09T15:00,-1.3,45,3600.00,215.0
0,2024-01-09T16:00,-1.4,46,3600.00,164.0
0,2024-01-09T17:00,-1.4,45,3600.00,85.0
0,2024-01-09T18:00,-2.2,50,0.00,13.0
0,2024-01-09T19:00,-2.8,53,0.00,0.0
0,2024-01-09T20:00,-3.0,51,0.00,0.0
0,2024-01-09T21:00,-3.2,50,0.00,0.0
0,2024-01-09T22:00,-3.3,50,0.00,0.0
0,2024-01-09T23:00,-3.6,53,0.00,0.0
0,2024-01-10T00:00,-4.0,56,0.00,0.0
0,2024-01-10T01:00,-4.4,60,0.00,0.0
0,2024-01-10T02:00,-4.8,63,0.00,0.0
0,2024-01-10T03:00,-5.0,66,0.00,0.0
0,2024-01-10T04:00,-5.1,69,0.00,0.0
0,2024-01-10T05:00,-5.4,73,0.00,0.0
0,2024-01-10T06:00,-5.5,72,0.00,0.0
0,2024-01-10T07:00,-5.6,71,0.00,0.0
0,2024-01-10T08:00,-5.8,71,0.00,0.0
0,2024-01-10T09:00,-5.9,69,0.00,0.0
0,2024-01-10T10:00,-6.0,68,0.00,1.0
0,2024-01-10T11:00,-5.2,63,1089.40,42.0
0,2024-01-10T12:00,-4.0,57,3600.00,123.0
0,2024-01-10T13:00,-2.7,50,3600.00,189.0
0,2024-01-10T14:00,-1.1,44,3600.00,223.0
0,2024-01-10T15:00,-0.6,43,3600.00,214.0
0,2024-01-10T16:00,-0.4,44,3600.00,160.0
0,2024-01-10T17:00,-0.4,47,3600.00,84.0
0,2024-01-10T18:00,-1.1,51,0.00,14.0
0,2024-01-10T19:00,-2.2,56,0.00,0.0
0,2024-01-10T20:00,-3.1,60,0.00,0.0
0,2024-01-10T21:00,-3.6,62,0.00,0.0
0,2024-01-10T22:00,-4.0,64,0.00,0.0
0,2024-01-10T23:00,-4.4,67,0.00,0.0
0,2024-01-11T00:00,-4.7,69,0.00,0.0
0,2024-01-11T01:00,-5.0,71,0.00,0.0
0,2024-01-11T02:00,-5.6,74,0.00,0.0
0,2024-01-11T03:00,-6.0,77,0.00,0.0
0,2024-01-11T04:00,-6.4,82,0.00,0.0
0,2024-01-11T05:00,-6.9,87,0.00,0.0
0,2024-01-11T06:00,-7.1,90,0.00,0.0
0,2024-01-11T07:00,-7.1,91,0.00,0.0
0,2024-01-11T08:00,-7.3,91,0.00,0.0
0,2024-01-11T09:00,-7.1,88,0.00,0.0
0,2024-01-11T10:00,-6.9,87,0.00,1.0
0,2024-01-11T11:00,-5.8,83,615.71,39.0
0,2024-01-11T12:00,-3.6,75,3600.00,104.0
0,2024-01-11T13:00,-2.1,87,0.00,91.0
0,2024-01-11T14:00,-0.8,89,0.00,99.0
0,2024-01-11T15:00,0.2,88,0.00,102.0
0,2024-01-11T16:00,0.5,88,0.00,82.0
0,2024-01-11T17:00,0.8,88,0.00,35.0
0,2024-01-11T18:00,0.7,91,0.00,5.0
0,2024-01-11T19:00,0.8,92,0.00,0.0
0,2024-01-11T20:00,0.9,93,0.00,0.0
0,2024-01-11T21:00,1.4,94,0.00,0.0
0,2024-01-11T22:00,1.9,95,0.00,0.0
0,2024-01-11T23:00,2.3,94,0.00,0.0
0,2024-01-12T00:00,2.2,93,0.00,0.0
0,2024-01-12T01:00,1.7,95,0.00,0.0
0,2024-01-12T02:00,1.9,94,0.00,0.0
0,2024-01-12T03:00,1.4,96,0.00,0.0
0,2024-01-12T04:00,1.6,94,0.00,0.0
0,2024-01-12T05:00,1.8,90,0.00,0.0
0,2024-01-12T06:00,1.5,92,0.00,0.0
0,2024-01-12T07:00,1.4,93,0.00,0.0
0,2024-01-12T08:00,1.5,93,0.00,0.0
0,2024-01-12T09:00,1.8,92,0.00,0.0
0,2024-01-12T10:00,1.7,93,0.00,0.0
0,2024-01-12T11:00,2.0,93,0.00,19.0
0,2024-01-12T12:00,2.7,91,1396.62,86.0
0,2024-01-12T13:00,3.8,87,1255.04,115.0
0,2024-01-12T14:00,4.5,82,373.10,119.0
0,2024-01-12T15:00,5.1,80,0.00,110.0
0,2024-01-12T16:00,5.1,83,0.00,67.0
0,2024-01-12T17:00,4.2,93,0.00,26.0
0,2024-01-12T18:00,3.7,95,0.00,4.0
0,2024-01-12T19:00,3.6,95,0.00,0.0
0,2024-01-12T20:00,3.3,96,0.00,0.0
0,2024-01-12T21:00,3.2,96,0.00,0.0
0,2024-01-12T22:00,3.3,95,0.00,0.0
0,2024-01-12T23:00,3.2,95,0.00,0.0
0,2024-01-13T00:00,3.1,95,0.00,0.0
0,2024-01-13T01:00,3.1,96,0.00,0.0
0,2024-01-13T02:00,3.2,94,0.00,0.0
0,2024-01-13T03:00,3.1,96,0.00,0.0
0,2024-01-13T04:00,3.2,96,0.00,0.0
0,2024-01-13T05:00,3.0,96,0.00,0.0
0,2024-01-13T06:00,3.1,96,0.00,0.0
0,2024-01-13T07:00,3.3,95,0.00,0.0
0,2024-01-13T08:00,3.5,94,0.00,0.0
0,2024-01-13T09:00,3.6,94,0.00,0.0
